Treatment,Replicate,Filter,Target,Concentration,Hours
C_FPOM_STHD,2,10,STHD,0,29
A_NP_STHD,2,0.2,STHD,7019444,0
A_NP_STHD,2,0.2,STHD,1404000,5
A_NP_STHD,2,0.2,STHD,44696,17
A_NP_STHD,2,0.2,STHD,7125,29
A_NP_STHD,2,1,STHD,6561111,0
A_NP_STHD,2,1,STHD,4004775,5
A_NP_STHD,2,1,STHD,2142187,17
A_NP_STHD,2,1,STHD,909097,29
A_NP_STHD,2,10,STHD,2137500,0
A_NP_STHD,2,10,STHD,2277450,5
A_NP_STHD,2,10,STHD,744262,17
A_NP_STHD,2,10,STHD,176146,29
B_PG_STHD,3,0.2,STHD,9864583,0
B_PG_STHD,3,0.2,STHD,1391595,5
B_PG_STHD,3,0.2,STHD,140194,17
B_PG_STHD,3,0.2,STHD,79433,29
B_PG_STHD,3,1,STHD,10558333,0
B_PG_STHD,3,1,STHD,1259551,5
B_PG_STHD,3,1,STHD,373625,17
B_PG_STHD,3,1,STHD,490613,29
B_PG_STHD,3,10,STHD,1531250,0
B_PG_STHD,3,10,STHD,148464,5
B_PG_STHD,3,10,STHD,24296,17
B_PG_STHD,3,10,STHD,10814,29
A_NP_STHD,3,0.2,STHD,9711111,0
A_NP_STHD,3,0.2,STHD,1379733,5
A_NP_STHD,3,0.2,STHD,269681,17
A_NP_STHD,3,0.2,STHD,14917,29
A_NP_STHD,3,1,STHD,9785417,0
A_NP_STHD,3,1,STHD,3580373,5
A_NP_STHD,3,1,STHD,3603799,17
A_NP_STHD,3,1,STHD,924868,29
A_NP_STHD,3,10,STHD,2800694,0
A_NP_STHD,3,10,STHD,2338613,5
A_NP_STHD,3,10,STHD,1393239,17
A_NP_STHD,3,10,STHD,174938,29
F_TIO2_STHD,3,0.2,STHD,0,0
F_TIO2_STHD,3,0.2,STHD,0,5
F_TIO2_STHD,3,0.2,STHD,0,17
F_TIO2_STHD,3,0.2,STHD,0,29
F_TIO2_STHD,3,1,STHD,0,0
F_TIO2_STHD,3,1,STHD,0,5
F_TIO2_STHD,3,1,STHD,0,17
F_TIO2_STHD,3,1,STHD,0,29
F_TIO2_STHD,3,10,STHD,57153,0
F_TIO2_STHD,3,10,STHD,211408,5
F_TIO2_STHD,3,10,STHD,127944,17
F_TIO2_STHD,3,10,STHD,140175,29
D_Algae_STHD,3,0.2,STHD,2670833,0
D_Algae_STHD,3,0.2,STHD,1142558,5
D_Algae_STHD,3,0.2,STHD,71458,17
D_Algae_STHD,3,0.2,STHD,8027,29
D_Algae_STHD,3,1,STHD,8694444,0
D_Algae_STHD,3,1,STHD,1443592,5
D_Algae_STHD,3,1,STHD,519264,17
D_Algae_STHD,3,1,STHD,202673,29
D_Algae_STHD,3,10,STHD,1897222,0
D_Algae_STHD,3,10,STHD,292139,5
D_Algae_STHD,3,10,STHD,90514,17
D_Algae_STHD,3,10,STHD,87624,29
C_FPOM_STHD,3,0.2,STHD,6665972,0
C_FPOM_STHD,3,0.2,STHD,746426,5
C_FPOM_STHD,3,0.2,STHD,45189,17
C_FPOM_STHD,3,0.2,STHD,9664,29
C_FPOM_STHD,3,1,STHD,5399306,0
C_FPOM_STHD,3,1,STHD,568543,5
C_FPOM_STHD,3,1,STHD,99361,17
C_FPOM_STHD,3,1,STHD,0,29
C_FPOM_STHD,3,10,STHD,585417,0
C_FPOM_STHD,3,10,STHD,13957,5
C_FPOM_STHD,3,10,STHD,5921,17
C_FPOM_STHD,3,10,STHD,35484,29
E_Clay_STHD,3,0.2,STHD,0,0
E_Clay_STHD,3,0.2,STHD,0,5
E_Clay_STHD,3,0.2,STHD,0,17
E_Clay_STHD,3,0.2,STHD,0,29
E_Clay_STHD,3,1,STHD,0,0
E_Clay_STHD,3,1,STHD,0,5
E_Clay_STHD,3,1,STHD,0,17
E_Clay_STHD,3,1,STHD,5224,29
E_Clay_STHD,3,10,STHD,42222,0
E_Clay_STHD,3,10,STHD,840320,5
E_Clay_STHD,3,10,STHD,271751,17
E_Clay_STHD,3,10,STHD,17926,29
D_Algae_STHD,4,0.2,STHD,5837500,0
D_Algae_STHD,4,0.2,STHD,776529,5
D_Algae_STHD,4,0.2,STHD,64313,17
D_Algae_STHD,4,0.2,STHD,10547,29
D_Algae_STHD,4,1,STHD,6386806,0
D_Algae_STHD,4,1,STHD,1571531,5
D_Algae_STHD,4,1,STHD,847292,17
D_Algae_STHD,4,1,STHD,365123,29
D_Algae_STHD,4,10,STHD,869444,0
D_Algae_STHD,4,10,STHD,153253,5
D_Algae_STHD,4,10,STHD,141556,17
D_Algae_STHD,4,10,STHD,82770,29
C_FPOM_STHD,4,0.2,STHD,5068056,0
C_FPOM_STHD,4,0.2,STHD,725901,5
C_FPOM_STHD,4,0.2,STHD,5533,17
C_FPOM_STHD,4,0.2,STHD,2789,29
C_FPOM_STHD,4,1,STHD,7836111,0
C_FPOM_STHD,4,1,STHD,684167,5
C_FPOM_STHD,4,1,STHD,68736,17
C_FPOM_STHD,4,1,STHD,0,29
C_FPOM_STHD,4,10,STHD,1079861,0
C_FPOM_STHD,4,10,STHD,41939,5
C_FPOM_STHD,4,10,STHD,3505,17
C_FPOM_STHD,4,10,STHD,0,29
B_PG_STHD,4,0.2,STHD,5708333,0
B_PG_STHD,4,0.2,STHD,1880090,5
B_PG_STHD,4,0.2,STHD,238194,17
B_PG_STHD,4,0.2,STHD,44795,29
B_PG_STHD,4,1,STHD,5419444,0
B_PG_STHD,4,1,STHD,1914983,5
B_PG_STHD,4,1,STHD,1473403,17
B_PG_STHD,4,1,STHD,477050,29
B_PG_STHD,4,10,STHD,638194,0
B_PG_STHD,4,10,STHD,184041,5
B_PG_STHD,4,10,STHD,61114,17
B_PG_STHD,4,10,STHD,35254,29
E_Clay_STHD,4,0.2,STHD,938,0
E_Clay_STHD,4,0.2,STHD,9373,5
E_Clay_STHD,4,0.2,STHD,0,17
E_Clay_STHD,4,0.2,STHD,0,29
E_Clay_STHD,4,1,STHD,965,0
E_Clay_STHD,4,1,STHD,61643,5
E_Clay_STHD,4,1,STHD,2641,17
E_Clay_STHD,4,1,STHD,6307,29
E_Clay_STHD,4,10,STHD,2806250,0
E_Clay_STHD,4,10,STHD,719059,5
E_Clay_STHD,4,10,STHD,67307,17
E_Clay_STHD,4,10,STHD,232222,29
F_TIO2_STHD,4,0.2,STHD,0,0
F_TIO2_STHD,4,0.2,STHD,0,5
F_TIO2_STHD,4,0.2,STHD,0,17
F_TIO2_STHD,4,0.2,STHD,0,29
F_TIO2_STHD,4,1,STHD,0,0
F_TIO2_STHD,4,1,STHD,0,5
F_TIO2_STHD,4,1,STHD,0,17
F_TIO2_STHD,4,1,STHD,0,29
F_TIO2_STHD,4,10,STHD,17917,0
F_TIO2_STHD,4,10,STHD,240827,5
F_TIO2_STHD,4,10,STHD,76222,17
F_TIO2_STHD,4,10,STHD,93450,29
A_NP_STHD,4,0.2,STHD,5317361,0
A_NP_STHD,4,0.2,STHD,907205,5
A_NP_STHD,4,0.2,STHD,60910,17
A_NP_STHD,4,0.2,STHD,684836,29
A_NP_STHD,4,1,STHD,9305556,0
A_NP_STHD,4,1,STHD,4727592,5
A_NP_STHD,4,1,STHD,280389,17
A_NP_STHD,4,1,STHD,213588,29
A_NP_STHD,4,10,STHD,2025000,0
A_NP_STHD,4,10,STHD,1237658,5
A_NP_STHD,4,10,STHD,187833,17
A_NP_STHD,4,10,STHD,4177,29
